"OBJECTID","SWSN_Type","SWSN_Ware","Dogozshi","Decoration","Red_slipped","Corrugated","Start_Date","End_Date","Chronology","Chronology2","Plus","References_","Comments","Smudged"
11,"Aravaipa Orange","Late Middle Gila Red Ware",,"plain",0,0,1200,1400,1,0,0,,"dates from J. Clark (perhaps as early as 1100?)",
12,"Aravaipa Red","Late Middle Gila Red Ware",,"plain",1,0,1200,1400,1,0,0,,"dates from J. Clark (perhaps as early as 1100?)",
821,"Arboles Black-on-white","Upper San Juan White Ware",,"bichrome",0,0,950,1050,1,1,0,"Reed and Goff 2007",,
819,"Arboles Coiled or Corrugated","Upper San Juan Brown and Gray Ware",,"plain",0,1,975,1050,1,0,0,"Reed and Goff 2007",,
816,"Arboles Gray","Upper San Juan Brown and Gray Ware",,"plain",0,0,900,1050,1,0,0,"Reed and Goff 2007",,
817,"Arboles Neckbanded","Upper San Juan Brown and Gray Ware",,"plain",0,0,900,1050,1,0,0,"Reed and Goff 2007",,
946,"Arenal Glaze Polychrome (Glaze A)","Rio Grande Glaze Ware",0,"polychrome",1,0,1300,1350,1,1,0,,,0
1232,"Armadillo Brown","Chihuahuan Brown Ware",0,"plain",0,0,,,0,0,,,,0
13,"Ashiwi Polychrome","Zuni Matte-Paint Ware",,"polychrome",0,0,1680,1750,1,1,0,"Harlow 1973",,
14,"Awatovi Black-on-yellow","Jeddito Yellow Ware",,"bichrome",0,0,1325,1375,1,1,0,"Yellow Ware Conference updated",,
418,"Awatovi Polychrome","Jeddito Yellow Ware",,"polychrome",0,0,1400,1625,1,1,0,"Colton 1965; Frank and Harlow 1974",,
617,"Awatovi-Jeddito Black-on-yellow","Jeddito Yellow Ware",,"bichrome",0,0,1300,1375,1,1,0,"Colton 1956",,
687,"Aztec Black","Aztec Black Ware",,"plain",0,1,1200,1300,1,0,0,"McKenna 1992",,1
15,"Babacomari Bichrome","Babacomari Series",,"bichrome",0,0,700,1300,1,1,0,"Jones 1996:52",,
16,"Babacomari Polychrome","Babacomari Series",,"polychrome",0,0,1250,1450,1,1,0,"Di Peso 1951",,
544,"Babacomari Series, Undifferentiated","Babacomari Series",,"plain",0,0,700,1300,0,0,0,,,
409,"Babicora Polychrome","Chihuahuan Series",,"polychrome",0,0,1200,1450,1,1,0,"Neuzil and Lyons 2008",,
629,"Bancos Black-on-white","Upper San Juan White Ware",,"bichrome",0,0,825,1000,1,1,0,"Reed and Goff 2007",,
1721,"Batacosa Brown","Serrana Series",0,"plain",0,0,500,1200,1,1,0,,,0
1722,"Batacosa Red","Serrana Series",0,"plain",1,0,500,1200,1,1,,,,0
547,"Belford Corrugated","Belford Series",,"plain",0,1,1300,1450,1,0,0,"DiPeso 1958",,
546,"Belford Plain","Belford Series",,"plain",0,0,1300,1450,1,0,0,"DiPeso 1958",,
18,"Belford Red","Belford Series",,"plain",1,0,1300,1450,1,0,0,,"dates from P. Lyons",
708,"Belford Red, Smudged","Belford Series",,"plain",1,0,1350,1450,1,0,0,"Neuzil and Lyons 2005","Neuzil and Lyons say same as Cliff Red",
502,"Bennett Gray","Chuska Gray Ware",,"plain",0,0,700,850,1,0,0,"Windes 1977",,
19,"Benson Red-on-brown","Dragoon Series",,"bichrome",0,0,750,1150,1,1,0,"Tuthill 1947","dates from P. Lyons",
1686,"Beta Glaze","Acoma Glaze Ware",0,"polychrome",0,0,1400,1470,1,1,0,,,0
20,"Betatakin Black-on-white","Tusayan White Ware",,"bichrome",0,0,1260,1300,1,1,0,"Colton and Hargrave 1937; Colton 1955; Dittert and Plog 1980",,
21,"Bidahochi Black-on-white","Hopi White Ware",,"bichrome",0,0,1325,1400,1,1,0,"Caywood and Spicer 1935; Colton 1956",,
22,"Bidahochi Polychrome","Jeddito Yellow Ware",,"polychrome",0,0,1325,1375,1,1,0,"Colton 1956; Smith 1971",,
2,"Biscuit A Black-on-white","Northern Rio Grande White Ware",,"bichrome",0,0,1340,1450,1,1,0,"Boyd Dyer 2008","Oppelt lists as black-on-gray",
17,"Biscuit B Black-on-white","Northern Rio Grande White Ware",,"bichrome",0,0,1400,1550,1,1,0,"Boyd Dyer 2008","Oppelt lists as black-on-gray",
945,"Biscuit Ware, Undifferentiated","Northern Rio Grande White Ware",0,"bichrome",0,0,1350,1550,1,1,0,,,0
421,"Black Ax Plain","Winslow Orange Ware",,"plain",0,0,1250,1400,1,0,0,"Colton 1956",,
23,"Black Ax Polychrome","Winslow Orange Ware",,"polychrome",1,0,1300,1400,1,1,0,"Colton and Hargrave 1937",,
24,"Black Mesa Black-on-white","Tusayan White Ware",,"bichrome",0,0,1000,1100,1,1,0,"Ambler 1985; Christenson and Bender 1985; Colton 1955; Dean 1991",,
1692,"Black Mesa Buff","Lower Colorado Buff Ware",0,"plain",0,0,700,1000,1,0,,,,0
25,"Black Mesa Red-on-buff","Lower Colorado Buff Ware",,"bichrome",0,0,800,1000,1,1,0,"Rogers 1945; Waters 1982",,
636,"Black Mesa/Flagstaff Black-on-white","Tusayan White Ware",,"bichrome",0,0,1000,1220,1,1,0,"see pure types",,
554,"Black Mesa/Sosi Black-on-white","Tusayan White Ware",,"bichrome",0,0,1000,1180,1,1,0,"Hays-Gilpin and Van Hartesveldt 1998",,
305,"Black-on-gray, Undifferentiated","Undifferentiated Decorated",,"bichrome",0,0,550,1300,0,0,0,,,
306,"Black-on-orange, Undifferentiated","Undifferentiated Orange Ware",,"bichrome",0,0,1000,1350,0,0,0,,,
430,"Black-on-red, Undifferentiated","Undifferentiated Red Ware",,"bichrome",1,0,700,1700,0,0,0,,,
1618,"Black-on-white, Undifferentiated","Undifferentiated White Ware",,"bichrome",0,0,550,1900,0,0,,,"added by Andrea Torvinen (2/29/16) as part of the Connections Project; no known dates",
947,"Black-on-white, Undifferentiated Carbon Paint","Undifferentiated White Ware",0,"bichrome",0,0,550,1900,0,0,0,,,0
948,"Black-on-white, Undifferentiated Mineral Paint","Undifferentiated White Ware",0,"bichrome",0,0,550,1900,0,0,0,,,0
504,"Blue Shale Corrugated","Chuska Gray Ware",,"plain",0,1,925,1150,1,0,0,"Windes 1977",,
1130,"Bluebird Corrugated","Tusayan Gray Ware",,"plain",0,1,1130,1250,1,0,,,,0
26,"Bluff Black-on-red","San Juan Red Ware",,"bichrome",1,0,800,925,1,1,0,"Hurst 2009",,
776,"BMIII/PI White Ware, Type Undifferentiated","Undifferentiated White Ware",,"bichrome",0,0,550,900,1,0,0,,,
27,"Brimhall Black-on-white","Chuska White Ware",1,"bichrome",0,0,1040,1150,1,1,0,"Windes 1977 revised",,
760,"Brimhall/Taylor Black-on-white","Chuska White Ware",,"bichrome",0,0,1000,1150,1,1,0,"Windes 1977 revised",,
423,"Brown Corrugated Ware, Undifferentiated","Undifferentiated Brown Ware",,"plain",0,1,800,1450,0,0,0,,,
713,"Brown Ware, Undifferentiated","Undifferentiated Brown Ware",,"plain",0,0,500,1450,0,0,0,,,
311,"Buff Ware, Undifferentiated","Undifferentiated Buff Ware",,"undifferentiated",0,0,300,1450,0,0,0,,,
28,"Burnham Black-on-white","Chuska White Ware",,"bichrome",0,0,860,1000,1,1,0,"Windes 1977",,
761,"Burnham/Newcomb Black-on-white","Chuska White Ware",,"bichrome",0,0,860,1000,1,1,0,"Windes 1977",,
29,"Cameron Polychrome","Tsegi Orange Ware",1,"polychrome",1,0,1040,1170,1,1,0,"SW Virtual Museum",,
668,"Cameron/Tusayan Polychrome","Tsegi Orange Ware",,"polychrome",1,0,1040,1320,1,1,0,"SW Virtual Museum",,
30,"Canada del Oro Red-on-brown","Tucson Basin Brown Ware",,"bichrome",0,0,700,800,1,1,0,"Heckman et al. 2000",,
588,"Cañada del Oro/Rillito Red-on-brown","Tucson Basin Brown Ware",,"bichrome",0,0,700,950,1,1,0,"see references for pure types.",,
591,"Cañada del Oro/Rillito/Rincon Red-on-brown","Tucson Basin Brown Ware",,"bichrome",0,0,700,1150,1,1,0,"see references for pure types.",,
31,"Canada del Oro-Gila Butte Red-on-brown","Tucson Basin Brown Ware",,"bichrome",1,0,700,850,1,1,0,,"combining dates from Gila Butte and Canada del Oro",
500,"Captain Tom Corrugated","Chuska Gray Ware",,"plain",0,1,890,1000,1,0,0,"Windes 1977",,
1019,"Carmen Red-on-gray","Sonoran Gray Ware",0,"bichrome",0,0,,,0,0,0,,,0
1675,"Carnue Plain","Hispanic Utility Ware",0,"plain",0,0,1790,1895,1,0,0,,,0
408,"Carretas Polychrome","Chihuahuan Series",,"polychrome",0,0,1200,1450,1,1,0,"Neuzil and Lyons 2008","Neuzil and Lyons 2008 say most common AD 1250-1350",
32,"Casa Colorado Black-on-white","Rio Grande White Ware",,"bichrome",0,0,1150,1400,1,1,0,"Hawley 1936; Atwood 1974; Dittert and Plog 1980",,
33,"Casa Grande Red-on-buff","Middle Gila Buff Ware and Gray Ware",,"bichrome",0,0,1200,1350,1,1,0,"Dean 1991",,
35,"Cascabel Red-on-brown","Dragoon Series",,"bichrome",0,0,700,900,1,1,0,"Heckman et al. 2000",,
949,"Casitas Red-on-brown","Hispanic Utility Ware",0,"bichrome",0,0,1762,1900,1,1,0,,,0
442,"Cebolleta Black-on-white","Cibola White Ware",,"bichrome",0,0,1000,1200,1,1,0,"check on this",,
36,"Cedar Creek Polychrome","Late White Mountain Red Ware",,"polychrome",1,0,1300,1350,1,1,0,"Eckert 2006",,
608,"Cedar Creek/Fourmile Polychrome","Late White Mountain Red Ware",,"polychrome",1,0,1300,1400,1,1,0,"see pure types",,
37,"Cerbat Black-on-brown","Tizon Brown Ware",,"bichrome",0,0,700,1890,1,1,0,"Dobyns and Euler 1958","""Unknown date""",
38,"Cerbat Brown","Tizon Brown Ware",,"plain",0,0,700,1890,0,0,0,"Dobyns and Euler 1958",,
39,"Cerbat Red-on-brown","Tizon Brown Ware",,"bichrome",0,0,700,1890,1,1,0,,,
1022,"Cerro Colorado Polychrome","Sayula Ware",0,"polychrome",0,0,550,1100,0,1,0,,,0
40,"Cerros Red-on-white","San Simon Series",,"bichrome",0,0,800,1000,1,1,0,"Heckman et al. 2000; Sayles 1945",,
41,"Chaco Black-on-white","Cibola White Ware",1,"bichrome",0,0,1075,1150,1,1,0,"Goetze and Mills 1993",,
514,"Chaco Corrugated","Cibola Gray Ware",,"plain",0,1,1050,1100,1,0,0,"Blinman 1993; lump with indented corrugated",,
42,"Chaco-McElmo Black-on-white (carbon paint)","Cibola White Ware",,"bichrome",0,0,1090,1175,1,1,0,"Goetze and Mills 1993; updated from Windes",,
43,"Chapin Black-on-white","Mesa Verde White Ware",,"bichrome",0,0,575,880,1,1,0,"Breternitz et al. 1974; CCAC Manual","(Oppelt has up to 900?)",
491,"Chapin Gray","Mesa Verde Gray ware",,"plain",0,0,575,980,1,0,0,"Breternitz et al. 1974; Crow Canyon",,
621,"Chapin Gray Fugitive Red","Mesa Verde Gray ware",,"plain",0,0,575,980,1,0,0,"see Chapin Gray",,
44,"Chavez Pass Black-on-red","Winslow Orange Ware",,"bichrome",1,0,1275,1350,1,1,0,"Colton 1956",,
649,"Chavez Pass Brown","Alameda Brown Ware",,"plain",0,0,1200,1400,1,0,0,"Oppelt 2008",,
45,"Chavez Pass Polychrome","Winslow Orange Ware",,"polychrome",1,0,1300,1400,1,1,0,"Colton and Hargrave 1937",,
46,"Chavez Pass Red","Winslow Orange Ware",,"plain",1,0,1250,1350,1,0,0,"Hays 1991, Hays et al. 1996","dates from P. Lyons",
429,"Chevelon Black-on-white","Little Colorado White Ware",,"bichrome",0,0,1070,1125,1,1,0,"Colton 1955",,
1220,"Chihuahuan Broad Coil Brown","Chihuahuan Brown Ware",0,"plain",0,0,,,0,0,,,,0
1231,"Chihuahuan Incised Brown","Chihuahuan Brown Ware",0,"plain",0,0,,,0,0,,,,0
1218,"Chihuahuan Incised Corrugated Brown","Chihuahuan Brown Ware",0,"plain",0,0,,,0,0,,,,0
1219,"Chihuahuan Indented Corrugated Brown","Chihuahuan Brown Ware",0,"plain",0,0,,,0,0,,,,0
1223,"Chihuahuan Patterned Incised Brown","Chihuahuan Brown Ware",0,"plain",0,0,,,0,0,,,,0
1213,"Chihuahuan Patterned Scored Brown","Chihuahuan Brown Ware",0,"plain",0,0,,,0,0,,,,0
1229,"Chihuahuan Plain Brown","Chihuahuan Brown Ware",0,"plain",0,0,,,0,0,,,,0
1216,"Chihuahuan Plain Corrugated Brown","Chihuahuan Brown Ware",0,"plain",0,0,,,0,0,,,,0
1215,"Chihuahuan Plain Incised Brown","Chihuahuan Brown Ware",0,"plain",0,0,,,0,0,,,,0
1212,"Chihuahuan Plain Scored Brown","Chihuahuan Brown Ware",0,"plain",0,0,,,0,0,,,,0
895,"Chihuahuan polychrome, Undifferentiated","Chihuahuan Series",,"polychrome",0,0,1200,1450,1,1,,,,
1217,"Chihuahuan Rubbed Corrugated Brown","Chihuahuan Brown Ware",0,"plain",0,0,,,0,0,,,,0
1224,"Chihuahuan Rubbed Incised Brown","Chihuahuan Brown Ware",0,"plain",0,0,,,0,0,,,,0
1214,"Chihuahuan Rubbed Scored Brown","Chihuahuan Brown Ware",0,"plain",0,0,,,0,0,,,,0
1230,"Chihuahuan Scored Brown","Chihuahuan Brown Ware",0,"plain",0,0,,,0,0,,,,0
1221,"Chihuahuan Tool Punched Brown","Chihuahuan Brown Ware",0,"plain",0,0,,,0,0,,,,0
312,"Chihuahuan type, Undifferentiated","Chihuahuan Series",,"undifferentiated dec",0,0,1200,1450,1,1,0,,,
47,"Chupadero Black-on-white","Northern Jornada White Ware",,"bichrome",0,0,1175,1545,1,1,0,"Habicht-Mauche 1993",,
48,"Chuska Black-on-white","Chuska White Ware",1,"bichrome",0,0,1040,1125,1,1,0,"Windes 1977 revised",,
762,"Chuska BMIII/PI Black-on-white, Type Undifferentiated","Chuska White Ware",,"bichrome",0,0,700,900,1,0,0,,,
755,"Chuska Carbon Painted White Ware, Undifferentiated","Chuska White Ware",,"bichrome",0,0,800,1300,0,0,0,"Windes 1977",,
892,"Chuska Clapboard Corrugated Gray, Undifferentiated","Chuska Gray Ware",,"plain",0,1,900,1100,1,0,0,,,
498,"Chuska Corrugated Gray Ware, Undifferentiated","Chuska Gray Ware",,"plain",0,1,890,1300,0,0,0,"Windes 1977",,
497,"Chuska Gray Ware, Type Undifferentiated","Chuska Gray Ware",,"plain",0,0,700,1300,0,0,0,"Windes 1977",,
753,"Chuska Indented Corrugated Gray","Chuska Gray Ware",,"plain",0,0,1040,1300,1,0,0,"Windes 1977",,
754,"Chuska Mineral Painted White Ware, Undifferentiated","Chuska White Ware",,"bichrome",0,0,800,1300,0,0,0,"Windes 1977",,
902,"Chuska Narrow Neckbanded","Chuska Gray Ware",,"plain",0,1,825,950,1,0,,"Windes 1977",,
764,"Chuska Neck Indented Corrugated Gray","Chuska Gray Ware",,"plain",0,1,950,1025,1,0,0,"Windes 1977",,
784,"Chuska Neckbanded","Chuska Gray Ware",,"plain",0,2,800,950,1,0,0,"Windes 1977",,
759,"Chuska Orange Ware, Undifferentiated","Chuska Orange Ware",,"bichrome",1,0,825,875,1,1,0,"Windes 1977",,
763,"Chuska PI/PII Black-on-white, Type Undifferentiated","Chuska White Ware",,"bichrome",0,0,700,1100,1,0,0,,,
834,"Chuska PII Black-on-white, Type Undifferentiated","Chuska White Ware",,"bichrome",0,0,900,1100,1,0,0,,,
772,"Chuska PII Gray, Type Undifferentiated","Chuska Gray Ware",,"plain",0,1,1040,1100,1,0,0,"Windes 1977",,
833,"Chuska PII/PIII Black-on-white, Type Undifferentiated","Chuska White Ware",,"bichrome",0,0,900,1300,1,0,0,,,
773,"Chuska PII/PIII Gray, Type Undifferentiated","Chuska Gray Ware",,"plain",0,1,1040,1300,1,0,0,"Windes 1977",,
835,"Chuska PIII Black-on-white, Type Undifferentiated","Chuska White Ware",,"bichrome",0,0,1100,1300,1,0,0,,,
774,"Chuska PIII Gray, Type Undifferentiated","Chuska Gray Ware",,"plain",0,1,1100,1300,1,0,0,"Windes 1977",,
743,"Chuska Plain Gray Ware, Type Undifferentiated","Chuska Gray Ware",,"plain",0,0,700,925,0,0,0,"Windes 1977",,
313,"Chuska White Ware type, Undifferentiated","Chuska White Ware",,"bichrome",0,0,800,1300,0,0,0,"Windes 1977",,
555,"Chuska/Brimhall Black-on-white","Chuska White Ware",1,"bichrome",0,0,1040,1150,1,1,0,"Windes 1977 revised",,
446,"Cibecue Polychrome","Mogollon Brown Ware",,"polychrome",0,1,1275,1350,1,1,0,"Oppelt",,
314,"Cibola Black-on-white, Undifferentiated","Cibola White Ware",,"bichrome",0,0,550,1325,0,0,0,,,
744,"Cibola BMIII/PI White Ware, Type Undifferentiated","Cibola White Ware",,"bichrome",0,0,550,900,1,0,0,,,
748,"Cibola Clapboard Corrugated Gray","Cibola Gray Ware",,"plain",0,1,900,1100,1,0,0,"Mills; Van Hartesvelt and Hays-Gilpin 1998",,
506,"Cibola Corrugated Gray Ware, Undifferentiated","Cibola Gray Ware",,"plain",0,1,900,1400,0,0,0,"McKenna and Toll 1984; Mills 1988, 1990; Windes 1984",,
478,"Cibola Gray Ware, Undifferentiated","Cibola Gray Ware",,"plain",0,0,550,1400,0,0,0,"McKenna and Toll 1984; Mills 1988, 1990; Windes 1984",,
731,"Cibola Indented Corrugated Gray","Cibola Gray Ware",,"plain",0,1,1040,1400,0,0,0,,,
894,"Cibola Late Corrugated Ware, Type Undifferentiated","Cibola Gray Ware",,"plain",0,0,1200,1400,1,0,0,,,
909,"Cibola Moenkopi Style Corrugated Gray","Cibola Gray Ware",0,"plain",0,1,1130,1300,1,0,0,,,0
1131,"Cibola Narrow Fillet Gray","Cibola Gray Ware",,"plain",0,1,950,1100,1,0,,,,0
508,"Cibola Narrow Neckbanded","Cibola Gray Ware",,"plain",0,1,900,1025,1,0,0,"updated from Windes; McKenna and Toll 1984; Mills 1988, 1990; Windes 1984",,
756,"Cibola Narrow Neckbanded Gray","Cibola Gray Ware",,"plain",0,1,900,1025,1,0,0,"updated from Windes; McKenna and Toll 1984; Mills 1988, 1990; Windes 1984",,
749,"Cibola Neck Indented Corrugated","Cibola Gray Ware",,"plain",0,1,950,1025,1,0,0,"Windes personal communication 2015",,
728,"Cibola Neckbanded Gray","Cibola Gray Ware",,"plain",0,1,850,1025,1,0,0,"intersection of narrow neck banded and Kana'a gray",,
904,"Cibola Obliterated Corrugated Gray Ware","Cibola Gray Ware",,"plain",0,1,1200,1400,1,0,,,,
741,"Cibola PI White Ware, Type Undifferentiated","Cibola White Ware",,"bichrome",0,0,700,900,1,0,0,,,
742,"Cibola PI/PII White Ware, Type Undifferentiated","Cibola White Ware",,"bichrome",0,0,700,1100,1,0,0,,,
735,"Cibola PII Gray Ware, Type Undifferentiated","Cibola Gray Ware",,"plain",0,1,950,1100,1,0,0,"PII rims",,
738,"Cibola PII White Ware, Type Undifferentiated","Cibola White Ware",,"bichrome",0,0,880,1100,1,0,0,,,
750,"Cibola PII/PIII Gray Ware, Type Undifferentiated","Cibola Gray Ware",,"plain",0,1,950,1300,1,0,0,"intersection of types",,
751,"Cibola PII/PIII Indented Corrugated, Type Undifferentiated","Cibola Gray Ware",,"plain",0,1,1050,1150,1,0,0,"Windes personal communication, 2015",,
740,"Cibola PII/PIII White Ware, Type Undifferentiated","Cibola White Ware",,"bichrome",0,0,1000,1300,1,0,0,,,
736,"Cibola PIII Gray Ware, Type Undifferentiated","Cibola Gray Ware",,"plain",0,1,1100,1300,1,0,0,"PIII rims",,
739,"Cibola PIII White Ware, Type Undifferentiated","Cibola White Ware",,"bichrome",0,0,1100,1300,1,0,0,,,
893,"Cibola PIII/PIV White Ware, Type Undifferentiated","Cibola White Ware",,"bichrome",0,0,1200,1325,1,0,0,,,
730,"Cibola Plain Corrugated Gray","Cibola Gray Ware",,"plain",0,1,900,1100,1,0,0,,,
729,"Cibola Plain Gray","Cibola Gray Ware",,"plain",0,0,550,1040,0,0,0,"Windes personal communication 2015",,
1132,"Cibola Tooled","Cibola Gray Ware",,"plain",0,1,850,950,1,0,,,,0
315,"Cibola White Ware, Undifferentiated","Cibola White Ware",,"bichrome",0,0,550,1325,0,0,0,,,
509,"Cibola Wide Neckbanded","Cibola Gray Ware",,"plain",0,1,850,925,1,0,0,"updated from Windes; McKenna and Toll 1984; Mills 1988, 1990; Windes 1984",,
403,"Cicuye Glaze Polychrome (Glaze F)","Rio Grande Glaze Ware",,"polychrome",1,0,1520,1700,1,1,0,"Eckert 2006",,
402,"Cicuye Glaze-on-red (Glaze F)","Rio Grande Glaze Ware",,"bichrome",1,0,1520,1700,1,1,0,"Eckert 2006",,
49,"Cieneguilla Glaze Polychrome (Glaze A)","Rio Grande Glaze Ware",,"polychrome",0,0,1321,1450,1,1,1,"Eckert 2006",,
50,"Cieneguilla Glaze-on-yellow (Glaze A)","Rio Grande Glaze Ware",,"bichrome",0,0,1321,1450,1,1,1,"Eckert 2006",,
51,"Citadel Polychrome","Tsegi Orange Ware",,"polychrome",1,0,1040,1200,1,1,0,"SW Virtual Museum",,
669,"Citadel/Tusayan Polychrome","Tsegi Orange Ware",,"polychrome",1,0,1040,1320,1,1,0,"SW Virtual Museum",,
1598,"Civano phase plain redware","Phoenix Red Ware",,"plain",0,0,1300,1450,1,0,,,,
1588,"Civano phase Plainware","Middle Gila Buff Ware and Gray Ware",,"plain",0,0,1300,1450,1,0,,,,
1633,"Civano phase red-slipped or Sacaton redware","Phoenix Red Ware",,"plain",0,0,1300,1450,1,0,,,,
888,"Clapboard Corrugated Brown Ware, Undifferentiated","Undifferentiated Brown Ware",,"plain",0,1,1000,1450,0,0,0,,,
869,"Clapboard Corrugated Gray Ware, Undifferentiated","Undifferentiated Gray Ware",,"plain",0,1,900,1100,1,0,0,,,
1648,"Classic period plain buffware","Middle Gila Buff Ware and Gray Ware",,"plain",0,0,1125,1450,1,0,,,,
1631,"Classic period plain redware","Phoenix Red Ware",,"plain",0,0,1125,1450,1,0,,,,
1590,"Classic period Plainware","Middle Gila Buff Ware and Gray Ware",,"plain",0,0,1125,1450,1,0,,,,
1639,"Classic period Red-on-buff","Middle Gila Buff Ware and Gray Ware",,"plain",0,0,1125,1450,1,1,,,,
1635,"Classic period red-slipped or Sacaton redware","Phoenix Red Ware",,"plain",0,0,1125,1450,1,0,,,,
1651,"Classic Period Redware","Late Middle Gila Red Ware",,"plain",1,0,1125,1450,1,0,,"Leonard et al. 2001","added by Andrea Torvinen (6/22/16) as part of the Connections Project; dates from Wallace (2004:122)",
678,"Classic Period Redware, Undifferentiated","Undifferentiated Middle Gila Red Ware",,"plain",1,0,1200,1450,1,0,0,,,
650,"Clear Creek Brown","Alameda Brown Ware",,"plain",0,0,1000,1200,1,0,0,"Colton 1941",,
55,"Cliff Polychrome","Roosevelt Red Ware",,"polychrome",1,0,1350,1450,1,1,0,"Lyons 2004",,
56,"Cliff Polychrome, Corrugated","Roosevelt Red Ware",,"polychrome",1,1,1350,1450,1,1,0,,"dates from P. Lyons",
513,"Cliff White-on-red","Roosevelt Red Ware",,"bichrome",1,0,1350,1450,1,1,0,"Neuzil and Lyons 2006",,
601,"Cliff/Nine-mile Polychrome","Roosevelt Red Ware",,"polychrome",1,0,1350,1450,1,1,0,,,
560,"Cloverdale Corrugated type","Cloverdale Brown Ware",,"plain",0,1,1200,1450,1,0,0,"Fish, Fish, and Madsen 2006; Kidder and Cosgrove 1949",,
785,"Coconino Buff Ware, Undifferentiated","Coconino Buff Ware",,"bichrome",0,0,1050,1150,0,0,0,,,
515,"Coconino Gray","Tusayan Gray Ware",,"plain",0,1,950,1100,1,0,0,"SW Virtual Museum",,
57,"Coconino Red-on-buff","Coconino Buff Ware",,"bichrome",0,0,1050,1150,1,1,0,"Colton and Hargrave 1937","Red-on-buff?",
1626,"Colorado Beige","Lower Colorado Buff Ware",,"plain",0,0,700,1050,1,0,,,"added by A. Torvinen (2/29/16) for CON Project; Beckwith (1988): mid-to-late Sacaton into Soho",
